"Date","discharge_cfs"
2016-05-09,441.072916666667
2016-05-10,416.4375
2016-05-11,413.645833333333
2016-05-12,428.375
2016-05-13,500.302083333333
2016-05-14,538.5
2016-05-15,536.75
2016-05-16,554.6875
2016-05-17,567.479166666667
2016-05-18,588.083333333333
2016-05-19,646.885416666667
2016-05-20,666.875
2016-05-21,640.65625
2016-05-22,571.333333333333
2016-05-23,530.5
2016-05-24,522.71875
2016-05-25,520.197916666667
2016-05-26,515.979166666667
2016-05-27,493.6875
2016-05-28,477.927083333333
2016-05-29,506.71875
2016-05-30,520.604166666667
2016-05-31,523.21875
2016-06-01,538.625
2016-06-02,558.114583333333
2016-06-03,555.854166666667
2016-06-04,539.791666666667
2016-06-05,542.604166666667
2016-06-06,560.354166666667
2016-06-07,571.354166666667
2016-06-08,578.829787234043
2016-06-09,560.489583333333
2016-06-10,521.553191489362
2016-06-11,495.510416666667
2016-06-12,491.125
2016-06-13,492.354166666667
2016-06-14,489.385416666667
2016-06-15,482.197916666667
2016-06-16,494.791666666667
2016-06-17,523.03125
2016-06-18,531.833333333333
2016-06-19,540.958333333333
2016-06-20,520.302083333333
2016-06-21,479.760416666667
2016-06-22,518.604166666667
2016-06-23,569.927083333333
2016-06-24,555.927083333333
2016-06-25,564.78125
2016-06-26,591.6875
2016-06-27,601.822916666667
2016-06-28,612.125
2016-06-29,623.011111111111
2016-06-30,624.947916666667
2016-07-01,621.583333333333
2016-07-02,601.364583333333
2016-07-03,529.958333333333
2016-07-04,528.333333333333
2016-07-05,527.541666666667
2016-07-06,518.25
2016-07-07,507.760416666667
2016-07-08,492.458333333333
2016-07-09,444.75
2016-07-10,410.979166666667
2016-07-11,405.135416666667
2016-07-12,416.447916666667
2016-07-13,424.34375
2016-07-14,437.90625
2016-07-15,453.885416666667
2016-07-16,496.583333333333
2016-07-17,533.25
2016-07-18,530.625
2016-07-19,524.625
2016-07-20,522.375
2016-07-21,510.822916666667
2016-07-22,484.708333333333
2016-07-23,460.15625
2016-07-24,456.666666666667
2016-07-25,447.40625
2016-07-26,428.333333333333
2016-07-27,427.895833333333
2016-07-28,433.489583333333
2016-07-29,435.604166666667
2016-07-30,429.78125
2016-07-31,421.875
2016-08-01,420.684210526316
2016-08-02,416.114583333333
2016-08-03,399.197916666667
2016-08-04,381.354166666667
2016-08-05,450.625
2016-08-06,461.442105263158
2016-08-07,439.322916666667
2016-08-08,429.46875
2016-08-09,416
2016-08-10,427.416666666667
2016-08-11,451.4375
2016-08-12,461.458333333333
2016-08-13,501.364583333333
2016-08-14,476.583333333333
2016-08-15,381.25
2016-08-16,379.96875
2016-08-17,479.440860215054
2016-08-18,533.625
2016-08-19,506.927083333333
2016-08-20,487.84375
2016-08-21,491.1875
2016-08-22,489.25
2016-08-23,495.458333333333
2016-08-24,493.541666666667
2016-08-25,491.166666666667
2016-08-26,485.583333333333
2016-08-27,471.21875
2016-08-28,470.833333333333
2016-08-29,477.822916666667
2016-08-30,474.96875
2016-08-31,480.666666666667
2016-09-01,383.71875
2016-09-02,292.347368421053
2016-09-03,291.479166666667
2016-09-04,290.791666666667
2016-09-05,289.0625
2016-09-06,288.84375
2016-09-07,288
2016-09-08,295.020833333333
2016-09-09,302.447916666667
2016-09-10,300.78125
2016-09-11,273.166666666667
2016-09-12,248.5625
2016-09-13,249.09375
2016-09-14,248.4375
2016-09-15,241.833333333333
2016-09-16,234.96875
2016-09-17,233.625
2016-09-18,232.90625
2016-09-19,232.03125
2016-09-20,231.78125
2016-09-21,232.34375
2016-09-22,232.53125
2016-09-23,230.53125
2016-09-24,229.5
2016-09-25,227.21875
2016-09-26,225.6875
2016-09-27,223.5625
2016-09-28,221.5
2016-09-29,198.645833333333
2016-09-30,180.821052631579
2016-10-01,182.239583333333
2016-10-02,181.21875
2016-10-03,177.625
2016-10-04,174.375
2016-10-05,159.385416666667
2016-10-06,146.145833333333
2016-10-07,146.375
2016-10-08,146.104166666667
2016-10-09,81.8489583333333
2016-10-10,12.8734375
2016-10-11,4.0675
2016-10-12,3.0984375
2016-10-13,2.630625
2016-10-14,4.8525
2016-10-15,4.65583333333333
2016-10-16,5.32927083333333
2016-10-17,6.35447916666667
2016-10-18,5.28177083333333
2016-10-19,3.19666666666667
2016-10-20,3.0065625
2016-10-21,3.1884375
2016-10-22,3.5296875
2016-10-23,3.7709375
2016-10-24,3.8865625
2016-10-25,3.7184375
2016-10-26,3.80520833333333
2016-10-27,3.671875
2016-10-28,3.33333333333333
2016-10-29,3.48364583333333
2016-10-30,3.35520833333333
2016-10-31,2.676875
2016-11-01,2.80125
2016-11-02,2.71489583333333
2016-11-03,2.87708333333333
2016-11-04,2.91458333333333
2016-11-05,2.8259375
2016-11-06,2.7232
2016-11-07,2.92322916666667
2016-11-08,3.020625
2016-11-09,3.20729166666667
2016-11-10,3.375
2016-11-11,3.34
2016-11-12,3.5696875
2016-11-13,3.64520833333333
2016-11-14,3.73197916666667
2016-11-15,3.73020833333333
2016-11-16,3.48947916666667
2016-11-17,3.34166666666667
2016-11-18,3.34
2016-11-19,3.4871875
2016-11-20,3.465
2016-11-21,3.48333333333333
2016-11-22,3.48416666666667
2016-11-23,3.37166666666667
2016-11-24,3.325
2016-11-25,3.30666666666667
2016-11-26,3.45
2016-11-27,3.5159375
2016-11-28,3.491875
2016-11-29,3.345
2016-11-30,3.51614583333333
2016-12-01,3.4884375
2016-12-02,3.22677083333333
2016-12-03,3.158125
2016-12-04,2.9659375
2016-12-05,2.80125
2016-12-06,2.52010416666667
2016-12-07,2.48489583333333
2016-12-08,2.58645833333333
2016-12-09,2.69197916666667
2016-12-10,2.83916666666667
2016-12-11,2.86833333333333
2016-12-12,2.90604166666667
2016-12-13,3.0471875
2016-12-14,3.1690625
2016-12-15,3.98708333333333
2016-12-16,3.475
2016-12-17,3.10822916666667
2016-12-18,3.001875
2016-12-19,2.77208333333333
2016-12-20,2.696875
2016-12-21,2.52447916666667
2016-12-22,2.47270833333333
2016-12-23,2.594375
2016-12-24,2.63645833333333
2016-12-25,2.72541666666667
2016-12-26,2.74
2016-12-27,2.77354166666667
2016-12-28,2.830625
2016-12-29,2.93625
2016-12-30,2.98625
2016-12-31,3.045625
2017-01-01,3.13677083333333
2017-01-02,3.0596875
2017-01-03,3.38791666666667
2017-01-04,3.45208333333333
2017-01-05,6.30416666666667
2017-01-06,8.38125
2017-01-07,7.92760416666667
2017-01-08,1448.17260416667
2017-01-09,632.50625
2017-01-10,1971.875
2017-01-11,2437.60416666667
2017-01-12,2568.22916666667
2017-01-13,2550.45833333333
2017-01-14,2769.47916666667
2017-01-15,2753.22916666667
2017-01-16,2736.35416666667
2017-01-17,2695.20833333333
2017-01-18,2965.20833333333
2017-01-19,2962.39583333333
2017-01-20,3273.4375
2017-01-21,3184.375
2017-01-22,3803.22916666667
2017-01-23,3579.89583333333
2017-01-24,3575.20833333333
2017-01-25,2958.11041666667
2017-01-26,3261.5625
